Filename,Donor,Stimulation,Tetramer.Stain,Continuation.Of.File,Enrichment.For.Tetramer.Pos.Cells
D1CD3.txt,Donor1,CD3,NA,NA,No
D1CD328.txt,Donor1,CD3/CD28,NA,NA,No
D1Flu.txt,Donor1,PMA+Iono,Flu,NA,No
D1NS.txt,Donor1,unstimulated,NA,NA,No
D1PI.txt,Donor1,PMA+Iono,NA,NA,No
D2CD3.txt,Donor2,CD3,NA,NA,No
D2CD328.txt,Donor2,CD3/CD28,NA,NA,No
D2CMV.txt,Donor2,NA,CMV,NA,No
D2EBV1.txt,Donor2,NA,EBV1,NA,No
D2EBVBRLF.txt,Donor2,NA,EBVBRLF,NA,No
D2NS.txt,Donor2,unstimulated,NA,NA,No
D2PI.txt,Donor2,PMA+Iono,NA,NA,No
D1CD3_cells_found.fcs,Donor1,CD3,NA,NA,No
D1CD3CD28_cells_found.fcs,Donor1,CD3/CD28,NA,NA,No
D1NS_cells_found.fcs,Donor1,unstimulated,NA,NA,No
D1NSa_cells_found.fcs,Donor1,unstimulated,NA,D1NS_cells_found.fcs,No
D1PI_cells_found.fcs,Donor1,PMA+Iono,NA,NA,No
D1PIen_cells_found.fcs,Donor1,NA,NA,NA,Yes
D2CD3_cells_found.fcs,Donor2,CD3,NA,NA,No
D2CD3CD28_cells_found.fcs,Donor2,CD3/CD28,NA,NA,No
D2CD3CD28a_cells_found.fcs,Donor2,CD3/CD28,NA,D2CD3CD28_cells_found.fcs,No
D2NS_cells_found.fcs,Donor2,unstimulated,NA,NA,No
D2PI_cells_found.fcs,Donor2,PMA+Iono,NA,NA,No
D2PIen_cells_found.fcs,Donor2,PMA+Iono,NA,NA,Yes
